MilkTv-大陸頻道,#genre#
東森超視,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476234.m3u8
東森購物2台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488988.m3u8
momo购物2,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/495449.m3u8
中天綜合,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477084.m3u8
中天娛樂,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476996.m3u8
東森戲劇,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476994.m3u8
東森戲劇台（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/489002.m3u8
八大戏剧台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488934.m3u8
TVBS歡樂台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477068.m3u8
緯來戲劇,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477067.m3u8
JET綜合,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476239.m3u8
東森購物3台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488989.m3u8
東森購物1台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488987.m3u8
momo购物1台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/495448.m3u8
壹電視新聞台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488993.m3u8
壹新聞（备）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477087.m3u8
年代新聞高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477030.m3u8
東森新聞,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476998.m3u8
東森新闻(备),http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/479200.m3u8
中天新聞,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477695.m3u8
中天新闻（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/489006.m3u8
民視新聞,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477080.m3u8
三立新聞,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/481191.m3u8
tvbs新闻(CES),http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/479199.m3u8
tvbs新闻（备）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/494223.m3u8
東森財經新聞,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477062.m3u8
非凡新聞,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477083.m3u8
viva购物台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/495452.m3u8
东森购物5台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/493136.m3u8
衛視電影台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/489010.m3u8
東森電影,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476995.m3u8
緯來電影,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477063.m3u8
龍祥電影台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476979.m3u8
HBO HD,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476278.m3u8
HBO 高清 ,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476974.m3u8
東森洋片,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476997.m3u8
東森洋片台（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/489001.m3u8
AXN壹湾,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476296.m3u8
好萊塢電影,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476281.m3u8
