headers={"Authorization" : "XYhuY+UG500vL5IjopI/Q7LL/jTgBBMbFRnibjn0Xyn+Bua+OhauCO2LJz5Df8Uxg2J6YyIkNhsAX/Qph0eNSf6UfQFRDKKLjUZ+8ZSSBE5LsQgAjbD9mSZBh7afBvgk2EvgVKA6+NzFT3NuooK5La38FZ9Af/GgIeFISnwNlnlUa5facSasYe8TZZtAEKL8G4rj+KkG7hpQK1sCColjvdYYDg73AFyqAsgo2QTXrkagFXHnJLnuB9vfoxW/PNUSMBr4W+aG9I7rvfeIH0VXZtKY4E5B8SpRaQEbFTUAjAUghhMRRhpMFskHrDywG0xOLXIxl1olyMeTPLA7tl6uI+2lgFXNQX3hY0Gg63kwNg3TF8BJx4i9KeeOQrUPGOqmxwUmQuwHtPlgHlrQzzHWA8yGT6uJrKsBT2uW50kp7vs="  }
台灣,#genre#
Dreamworks,http://xbt.anddowns1888.com:8080/live/m3u8/48/c7b6e0bd564cf4784799143c70d5da04/playlist.m3u8
大陸,#genre#
CCTV1,http://ykp.anddowns1888.com:8080/live/m3u8/200/7a7e2a50167534bd660aaefe659fd901/playlist.m3u8
CCTV3,http://hrt.anddowns1888.com:8080/live/m3u8/2808/7e91e6a480a33165adc933563a4541e6/playlist.m3u8
CCTV4,http://ykp.anddowns1888.com:8080/live/m3u8/203/89f47fa411d841fe943055352a61bb75/playlist.m3u8
CCTV5plus,http://zms.anddowns1888.com:8080/live/m3u8/205/aca6e53590582c950c6ac65d079d106a/playlist.m3u8
CCTV5,http://mjh.anddowns1888.com:8080/live/m3u8/2760/1f24f663e2ffe91b452b565feaedcddb/playlist.m3u8
CCTV7,http://zms.anddowns1888.com:8080/live/m3u8/207/46ad4eb82a25e5f3ae46c85fd48b041f/playlist.m3u8
浙江衛視,http://vnd.anddowns1888.com:8080/live/m3u8/217/203abf663ed7315a53d681f5e7b1ef99/playlist.m3u8
江蘇衛視,http://vnd.anddowns1888.com:8080/live/m3u8/218/abe0a5eb54b7082c873e7b6bb7a64f16/playlist.m3u8
湖南衛視,http://zms.anddowns1888.com:8080/live/m3u8/226/c71d1267918fbfe53fbcb3608c9dc579/playlist.m3u8
日本,#genre#
読売テレビ,http://ykp.anddowns1888.com:8080/live/m3u8/198/983ad593ec73f5079a9c531923cb8b37/playlist.m3u8
BS日テレ,http://zms.anddowns1888.com:8080/live/m3u8/240/ea0df85ffef89ad35f3a2c6466818356/playlist.m3u8
BS朝日,http://zms.anddowns1888.com:8080/live/m3u8/241/8cdca2622963e53f1a2ba4e727781b6b/playlist.m3u8
BS-TBS,http://pfc.anddowns1888.com:8080/live/m3u8/242/c27b74c6ffa42449bd82088c06b34013/playlist.m3u8
BSフジ,http://pfc.anddowns1888.com:8080/live/m3u8/244/9ed7b4aac7004867cc08af2246811385/playlist.m3u8
TOKYO MX1,http://mjh.anddowns1888.com:8080/live/m3u8/2204/4590605ba3b1d830ffb05629dab214b9/playlist.m3u8
朝日放送テレビ,http://zms.anddowns1888.com:8080/live/m3u8/237/96a822fce4aa492649c20e503be673b4/playlist.m3u8
テレビ東京,http://rdy.anddowns1888.com:8080/live/m3u8/2202/1eb8d0940b16042b3622cb664788b98b/playlist.m3u8
WOWOWライブ,http://wjz.anddowns1888.com:8080/live/m3u8/134/f677e954955767617161139176512936/playlist.m3u8
WOWOWシネマ,http://wjz.anddowns1888.com:8080/live/m3u8/135/9b450965a8c10a046a51ecfcb9afb146/playlist.m3u8
TBS,http://wjz.anddowns1888.com:8080/live/m3u8/124/83c63b61df2203019fde00a3a764f193/playlist.m3u8
Discovery Japan,http://pfc.anddowns1888.com:8080/live/m3u8/290/ff7c8b9e3d410c724822c62b8868eb3d/playlist.m3u8







